city,province,city_area,builtup_area,reg_pop,resident_pop,gdp,,,,,,,,,,,,,,,,,,,
云阳县,重庆,3636,8.21,134.64,89.66,187.91,,,,,,,,,,,,,,,,,,,
南川区,重庆,2589,33,68.69,56.43,186.25,,,,,,,,,,,,,,,,,,,
文昌市,海南,2403,15.8,59.39,55.49,169.63,,,,,,,,,,,,,,,,,,,
万宁市,海南,1884,13,63.8,56.47,165.82,,,,,,,,,,,,,,,,,,,
丰都县,重庆,2899,5.82,82.9,59.56,150.19,,,,,,,,,,,,,,,,,,,
东方市,海南,2256,18.83,44.38,42.01,144.56,,,,,,,,,,,,,,,,,,,
临高县,海南,1317,9.39,52.06,44.29,144.52,,,,,,,,,,,,,,,,,,,
秀山县,重庆,2453,8.28,66.21,49.13,138.19,,,,,,,,,,,,,,,,,,,
武隆县,重庆,2901,19.96,41.43,34.67,131.4,,,,,,,,,,,,,,,,,,,
石柱县,重庆,3014,7.81,54.66,38.65,129.24,,,,,,,,,,,,,,,,,,,
甘南州,甘肃,40200,10.5,72.83,70.5,126.54,,,,,,,,,,,,,,,,,,,
陵水县,海南,1128,4.1,38.64,32.78,117.25,,,,,,,,,,,,,,,,,,,
酉阳县,重庆,5168,4.06,85,55.65,116.97,,,,,,,,,,,,,,,,,,,
彭水县,重庆,3897,2.24,69.81,50.64,115.97,,,,,,,,,,,,,,,,,,,
杨凌示范区,陕西,135,0,18.99,20.34,105.85,,,,,,,,,,,,,,,,,,,
乐东县,海南,2747,7.87,53.04,47.3,104.37,,,,,,,,,,,,,,,,,,,
昌江县,海南,1569,14,25.44,22.92,90.19,,,,,,,,,,,,,,,,,,,
巫山县,重庆,2955,3.75,63.83,46.23,89.66,,,,,,,,,,,,,,,,,,,
定安县,海南,1189,9.11,33.97,29.14,75.1,,,,,,,,,,,,,,,,,,,
巫溪县,重庆,4015,4.95,54.39,39.1,73.4,,,,,,,,,,,,,,,,,,,
屯昌县,海南,1232,9.66,30.87,26.36,58.15,,,,,,,,,,,,,,,,,,,
城口县,重庆,3289,2.08,25.06,18.63,42.54,,,,,,,,,,,,,,,,,,,
白沙县,海南,2117,10.3,19.47,17.1,39.96,,,,,,,,,,,,,,,,,,,
琼中县,海南,2706,5,22.61,17.72,39.1,,,,,,,,,,,,,,,,,,,
保亭县,海南,1161,4.7,17.11,15.02,38.56,,,,,,,,,,,,,,,,,,,
五指山市,海南,1129,10,10.97,10.56,22.28,,,,,,,,,,,,,,,,,,,
神农架,湖北,3253,1.27,7.86,7.68,20.95,,,,,,,,,,,,,,,,,,,
三沙市,海南,20,0,0.04,0.06,0,,,,,,,,,,,,,,,,,,,
